ImageryID,DataID,SkeletalPoints,BodyShape,Texture
1,477,https://robohash.org/infaceresint.png?size=50x50&set=set1,https://robohash.org/consequaturblanditiisvoluptatum.png?size=50x50&set=set1,https://robohash.org/exsuntid.png?size=50x50&set=set1
2,524,https://robohash.org/sapienteanimiquo.png?size=50x50&set=set1,https://robohash.org/suscipitrerumnihil.png?size=50x50&set=set1,https://robohash.org/quiestquisquam.png?size=50x50&set=set1
3,660,https://robohash.org/dolorumtemporibusveritatis.png?size=50x50&set=set1,https://robohash.org/nonetrerum.png?size=50x50&set=set1,https://robohash.org/adipiscifugiatarchitecto.png?size=50x50&set=set1
4,560,https://robohash.org/etpossimusnon.png?size=50x50&set=set1,https://robohash.org/quosearumconsequatur.png?size=50x50&set=set1,https://robohash.org/ducimusrerumet.png?size=50x50&set=set1
5,301,https://robohash.org/quiadolorumdolor.png?size=50x50&set=set1,https://robohash.org/sintmollitiadoloremque.png?size=50x50&set=set1,https://robohash.org/eligenditemporibusvoluptatibus.png?size=50x50&set=set1
6,865,https://robohash.org/animiconsequaturquo.png?size=50x50&set=set1,https://robohash.org/illuminciduntest.png?size=50x50&set=set1,https://robohash.org/etetomnis.png?size=50x50&set=set1
7,540,https://robohash.org/quisexpeditaqui.png?size=50x50&set=set1,https://robohash.org/siteumet.png?size=50x50&set=set1,https://robohash.org/etliberoin.png?size=50x50&set=set1
8,844,https://robohash.org/abfugaharum.png?size=50x50&set=set1,https://robohash.org/eosvoluptatemmollitia.png?size=50x50&set=set1,https://robohash.org/perferendisillomagnam.png?size=50x50&set=set1
9,356,https://robohash.org/utquoset.png?size=50x50&set=set1,https://robohash.org/placeateosenim.png?size=50x50&set=set1,https://robohash.org/recusandaesaepesunt.png?size=50x50&set=set1
10,557,https://robohash.org/necessitatibusetomnis.png?size=50x50&set=set1,https://robohash.org/quaenonquo.png?size=50x50&set=set1,https://robohash.org/facereetquisquam.png?size=50x50&set=set1
11,24,https://robohash.org/veleossunt.png?size=50x50&set=set1,https://robohash.org/temporaofficiaaccusantium.png?size=50x50&set=set1,https://robohash.org/dolorumetnihil.png?size=50x50&set=set1
12,423,https://robohash.org/consequaturvoluptatemqui.png?size=50x50&set=set1,https://robohash.org/atqueeumdolor.png?size=50x50&set=set1,https://robohash.org/accusantiumdoloret.png?size=50x50&set=set1
13,883,https://robohash.org/perspiciatisdolorenisi.png?size=50x50&set=set1,https://robohash.org/erroripsumnihil.png?size=50x50&set=set1,https://robohash.org/enimdistinctiovoluptatem.png?size=50x50&set=set1
14,819,https://robohash.org/evenietquianostrum.png?size=50x50&set=set1,https://robohash.org/voluptaseligendiiste.png?size=50x50&set=set1,https://robohash.org/illoetsapiente.png?size=50x50&set=set1
15,853,https://robohash.org/optiofugaquis.png?size=50x50&set=set1,https://robohash.org/fugamaximereprehenderit.png?size=50x50&set=set1,https://robohash.org/maximeperspiciatiset.png?size=50x50&set=set1
16,949,https://robohash.org/minusvoluptatibusamet.png?size=50x50&set=set1,https://robohash.org/earumetrerum.png?size=50x50&set=set1,https://robohash.org/excepturilaboriosamvoluptatem.png?size=50x50&set=set1
17,232,https://robohash.org/eautaut.png?size=50x50&set=set1,https://robohash.org/rerummollitialaudantium.png?size=50x50&set=set1,https://robohash.org/dictanobisea.png?size=50x50&set=set1
18,766,https://robohash.org/estsuntmagnam.png?size=50x50&set=set1,https://robohash.org/seddoloresnesciunt.png?size=50x50&set=set1,https://robohash.org/errorpossimuseaque.png?size=50x50&set=set1
