SubscriptionID,ActionID,DataID,TimePerformed
373,2,475,3/9/2023 06:01:59
752,1,368,1/15/2022 19:08:13
571,3,891,4/22/2021 08:28:10
961,1,778,8/16/2020 05:30:20
618,1,420,9/27/2022 09:51:14
257,2,358,5/21/2021 19:17:06
423,2,983,10/5/2022 23:14:43
561,3,544,2/26/2021 13:10:36
219,2,976,12/17/2023 06:36:04
938,1,67,11/27/2023 16:25:16
743,3,765,3/11/2022 19:53:35
517,1,470,1/30/2022 11:37:17
734,2,308,3/19/2022 10:56:41
919,2,924,7/8/2023 04:39:06
947,2,186,3/2/2021 03:22:00
939,1,277,1/15/2020 13:49:59
622,2,718,4/24/2022 22:14:59
286,2,391,7/28/2020 01:58:16
920,2,788,1/2/2023 17:26:37
441,2,648,10/28/2022 22:10:43
437,2,93,8/3/2022 15:07:51
160,2,862,2/2/2023 22:11:51
303,2,977,4/29/2023 17:42:55
247,1,128,10/8/2021 13:54:07
833,1,382,4/21/2021 08:42:59
464,2,498,11/21/2021 18:26:28
653,2,102,5/10/2021 03:06:25
283,2,771,6/7/2020 20:28:48
801,2,377,7/12/2023 15:42:42
778,2,248,4/8/2022 08:25:04
430,3,612,2/6/2021 03:38:38
841,2,316,9/19/2020 22:11:27
499,1,494,10/25/2020 13:12:55
492,2,606,3/14/2023 14:19:52
263,1,884,11/21/2023 19:37:14
199,2,533,5/27/2020 19:34:39
812,2,691,4/11/2022 07:54:34
732,2,746,9/20/2021 15:18:27
702,2,1,6/11/2022 03:11:01
644,2,161,8/8/2022 23:41:12
849,2,596,1/8/2021 11:25:25
629,1,153,5/17/2021 16:56:35
810,1,873,12/30/2020 09:19:16
258,1,592,5/7/2022 01:00:14
39,2,231,6/19/2020 01:45:04
199,3,130,2/15/2020 20:35:39
160,1,637,11/12/2021 03:28:24
63,2,187,8/16/2023 13:47:34
743,2,505,7/1/2021 07:48:35
78,2,463,12/11/2021 19:06:54
420,1,996,11/12/2023 14:49:16
629,2,260,8/23/2021 23:18:56
59,3,490,3/18/2020 10:31:16
107,2,386,7/11/2021 17:26:34
310,2,930,6/11/2020 02:27:44
525,2,216,11/22/2023 16:27:04
208,2,342,11/1/2020 05:07:56
375,2,681,5/12/2020 17:43:06
659,2,232,9/26/2021 05:34:30
973,1,489,11/11/2021 23:21:35
294,1,473,7/17/2022 03:07:23
408,1,626,10/6/2021 00:27:30
556,1,90,5/21/2023 11:38:43
700,2,594,5/11/2021 16:09:52
427,3,853,3/7/2020 11:48:58
28,2,313,9/17/2022 22:15:02
288,1,220,9/1/2020 18:56:52
806,3,923,6/5/2022 00:00:47
159,2,337,11/9/2023 21:13:03
158,2,341,5/1/2020 17:13:04
188,1,301,7/2/2020 19:35:40
739,2,914,7/17/2020 17:54:21
694,1,436,3/13/2023 07:55:04
451,1,667,8/4/2020 08:11:32
475,2,561,1/18/2023 11:59:46
340,3,464,1/1/2020 07:43:10
174,2,253,11/16/2020 19:40:19
637,2,550,7/4/2022 08:59:33
860,1,212,7/10/2022 21:40:09
511,3,292,5/14/2020 23:48:43
65,2,802,1/5/2020 03:30:47
913,1,260,6/19/2022 22:46:10
437,1,47,1/9/2021 17:34:55
740,1,954,3/9/2023 05:06:36
270,2,892,10/29/2022 20:37:23
550,2,646,2/2/2021 20:34:25
142,1,640,6/2/2020 04:43:34
939,1,660,3/7/2023 03:58:10
64,2,472,10/9/2020 17:00:03
852,2,209,1/19/2023 18:22:31
314,1,337,2/14/2022 02:10:46
93,3,99,4/12/2022 15:42:30
308,3,412,8/7/2021 11:08:52
556,2,23,4/27/2020 19:07:09
366,2,746,4/23/2023 19:30:42
420,2,10,10/15/2020 06:50:20
175,2,446,8/9/2021 02:35:07
633,2,380,1/24/2020 13:22:32
921,2,298,4/28/2023 23:28:17
724,1,645,6/29/2023 09:56:55
875,2,7,9/26/2023 11:16:46
314,2,702,5/23/2020 20:22:35
672,2,225,11/24/2021 08:10:28
901,2,943,9/10/2022 15:49:12
961,2,659,11/14/2022 06:02:36
535,1,475,2/27/2022 12:10:14
722,1,798,7/24/2022 10:14:06
892,2,659,5/31/2021 03:30:00
856,2,547,6/9/2022 10:01:28
783,3,649,9/24/2021 20:46:16
257,1,301,9/29/2023 21:03:24
418,3,609,2/17/2020 12:17:35
636,2,163,1/24/2022 23:28:44
1000,3,372,6/30/2022 16:19:04
644,2,130,6/12/2023 16:00:08
256,1,881,12/14/2020 20:21:08
269,1,692,3/26/2023 09:44:20
149,3,73,8/14/2023 13:50:01
200,2,707,4/5/2022 16:16:44
491,2,493,3/13/2020 02:17:24
383,3,584,9/17/2023 09:11:03
898,1,397,4/21/2021 02:31:45
448,1,297,2/3/2020 03:33:41
958,3,96,3/12/2022 21:26:44
562,2,858,10/2/2020 18:08:12
552,2,500,7/21/2020 11:01:39
951,2,758,6/18/2020 00:36:41
560,1,915,7/24/2023 11:57:49
744,2,913,12/30/2021 08:12:52
104,2,1,10/7/2022 06:29:10
821,3,51,1/28/2023 10:55:34
137,1,186,2/6/2021 14:33:30
378,1,250,7/23/2023 19:20:50
464,2,109,5/21/2023 13:09:09
284,1,65,4/28/2022 22:43:05
8,2,406,12/24/2023 14:13:31
621,2,909,3/10/2022 17:47:11
355,1,775,4/22/2023 00:49:44
637,1,161,4/29/2021 12:23:44
947,1,363,4/11/2021 10:59:05
540,1,419,7/30/2022 19:05:00
985,2,581,8/26/2021 09:38:43
550,2,484,10/10/2022 23:51:36
182,2,83,10/9/2023 10:11:53
825,1,566,1/6/2020 02:08:45
145,1,908,10/20/2020 00:19:59
544,2,793,4/30/2023 19:51:51
797,1,520,9/15/2021 16:04:11
231,3,746,3/6/2021 17:00:05
72,2,936,6/7/2022 03:03:35
636,1,885,1/20/2023 16:43:28
885,3,93,12/23/2023 00:34:39
400,2,708,10/23/2021 18:16:52
754,1,142,10/13/2020 08:20:29
500,2,407,1/20/2023 14:11:58
650,1,378,8/15/2020 12:25:14
968,2,594,2/22/2023 02:48:14
