SensorID,ContractID
884,140
761,170
294,879
168,456
747,530
119,278
230,943
768,423
678,576
307,380
965,437
371,214
344,576
911,975
684,95
760,594
18,847
961,545
916,736
496,939
853,464
964,761
589,437
473,531
241,1
573,12
601,503
204,917
438,60
197,755
692,581
617,213
235,556
323,787
475,677
752,270
60,145
341,387
642,415
792,124
449,605
672,36
524,294
434,699
808,197
985,445
334,598
593,678
300,962
213,928
305,312
563,548
174,704
446,905
288,252
925,477
779,784
92,963
588,344
653,821
552,905
978,894
201,795
867,726
223,907
118,417
609,218
651,554
863,563
554,743
494,610
942,986
346,837
183,419
53,648
946,748
944,387
849,546
128,873
86,835
598,917
39,266
270,317
58,512
962,62
372,201
850,148
638,908
706,96
888,452
267,85
347,344
583,928
355,964
141,311
534,711
626,191
170,884
277,237
519,31
407,938
676,162
123,478
329,417
634,196
699,650
941,46
793,440
69,575
500,839
182,842
903,509
150,535
655,240
728,739
382,16
757,368
190,912
573,471
107,206
508,490
105,903
110,763
160,258
719,166
714,630
848,920
862,387
916,660
303,872
731,429
661,61
439,894
438,170
738,971
577,774
559,178
800,582
580,418
447,68
289,525
233,939
568,43
157,707
556,538
240,495
5,666
204,65
440,615
751,503
532,156
523,811
22,844
994,745
347,862
289,71
134,104
612,878
233,617
914,281
563,526
843,776
358,439
917,742
866,768
193,906
903,454
687,80
914,861
296,123
488,957
820,434
166,326
518,320
320,329
780,757
660,34
637,56
439,495
870,684
186,162
851,451
353,737
885,310
859,402
697,731
418,88
475,291
953,509
103,154
894,445
946,387
347,434
379,613
569,514
99,493
149,575
172,492
909,209
777,887
203,326
325,718
22,590
275,19
21,949
165,104
157,485
495,76
6,765
734,732
506,919
206,33
965,499
895,134
467,773
18,451
701,618
560,312
936,557
796,743
51,951
939,564
809,53
618,554
624,545
186,764
348,250
733,541
284,278
813,620
209,389
455,151
959,279
57,683
175,166
134,933
434,536
710,882
667,138
353,975
170,554
698,934
708,622
425,369
602,360
699,990
759,643
580,422
803,203
134,887
432,647
277,684
787,610
104,94
99,460
361,650
761,459
216,607
692,670
670,16
776,318
458,990
258,213
729,132
525,33
456,388
529,145
890,393
551,239
611,682
195,566
244,952
347,527
896,61
169,795
285,337
527,995
534,987
811,468
669,44
78,376
920,708
85,847
87,937
776,882
232,341
835,660
463,547
760,47
764,535
39,542
350,440
748,308
920,315
348,730
971,871
305,45
530,715
169,256
646,704
385,966
992,594
850,48
36,34
921,290
704,794
940,199
176,595
337,544
809,144
839,521
487,570
673,389
76,836
855,160
465,692
189,180
197,317
354,164
245,491
743,67
670,387
382,315
151,818
309,658
638,937
647,986
498,453
522,967
97,977
106,866
329,528
327,680
381,65
165,598
840,4
583,418
968,868
291,194
346,211
112,564
384,822
339,757
538,469
359,561
120,222
818,93
659,670
407,602
852,608
455,651
337,580
317,249
214,958
147,218
308,199
598,171
101,31
919,644
259,963
114,397
976,413
172,95
717,246
208,551
960,163
589,373
697,183
733,934
295,372
189,525
290,196
474,968
410,902
261,549
853,56
648,271
44,369
518,735
374,739
907,397
499,287
736,289
842,716
23,210
171,482
145,650
229,820
703,83
850,414
527,599
331,675
842,60
529,118
14,919
705,558
102,320
393,501
729,987
307,160
894,68
949,579
298,724
785,786
877,423
31,383
267,146
33,143
740,734
631,820
101,841
87,389
242,771
186,277
388,684
11,922
705,863
44,437
863,210
771,813
995,617
636,254
476,795
342,243
608,975
59,172
347,286
908,192
225,916
278,73
413,961
929,369
770,630
360,804
261,108
79,311
848,445
760,189
151,482
90,950
843,258
362,894
582,397
586,356
471,143
786,201
813,428
661,905
37,935
561,606
136,714
912,823
670,803
70,696
732,996
930,907
162,280
856,86
590,294
957,546
239,131
143,988
398,229
627,821
414,391
245,535
736,849
396,65
765,973
957,457
272,170
935,306
722,787
338,289
262,171
894,569
231,794
659,416
583,382
372,749
123,707
230,395
766,532
382,926
939,442
105,526
709,629
461,717
818,811
193,225
285,828
704,219
625,515
952,958
907,410
328,873
107,724
444,113
388,352
543,910
864,417
934,642
351,453
220,401
431,78
546,330
763,258
199,432
821,114
748,726
231,96
105,430
483,225
673,948
944,319
159,354
337,371
723,921
490,923
507,46
734,370
740,37
174,17
878,215
450,102
261,656
86,493
957,630
724,166
652,378
836,467
791,588
238,702
237,290
528,765
759,176
187,234
82,960
435,800
402,768
366,399
815,208
357,647
276,65
799,781
520,118
80,572
943,375
225,300
308,195
949,102
368,102
791,156
579,784
15,142
496,26
632,211
303,430
560,270
517,126
483,727
742,991
743,20
752,578
564,188
33,963
243,541
333,4
257,642
102,969
107,759
970,71
430,438
36,217
972,246
107,635
959,256
830,438
280,587
102,144
133,278
602,267
64,525
511,64
720,503
280,236
2,832
700,817
162,562
921,738
455,290
486,818
108,129
246,932
499,229
420,987
963,992
885,9
964,751
128,909
14,809
917,768
388,463
211,455
325,280
570,620
15,163
237,239
101,864
333,191
906,371
174,861
209,600
27,389
114,904
616,823
93,647
79,937
625,974
465,95
274,80
715,279
935,15
125,666
116,838
342,806
186,392
298,732
583,937
311,131
803,540
770,674
741,465
675,602
863,475
379,905
570,482
376,330
58,520
989,595
165,106
714,501
471,297
792,95
667,739
392,116
717,546
201,706
182,120
149,681
600,970
997,452
45,621
755,88
680,109
98,967
241,56
731,558
997,691
107,824
303,568
610,852
833,210
91,198
732,202
727,72
832,84
202,178
547,452
30,444
873,534
640,469
155,754
110,599
890,507
451,840
956,573
944,523
9,980
604,662
63,644
326,472
65,194
283,333
603,691
321,591
240,47
16,307
637,170
865,26
354,357
969,201
444,195
380,253
661,377
762,869
99,78
420,354
936,897
794,860
