DataID,OwnerID,ZoneID,SensorID,CreationTime
1,445,390,619,12/12/2022 07:42:54
2,548,106,644,3/9/2022 02:50:11
3,248,70,275,10/25/2022 15:08:56
4,332,345,504,7/7/2022 02:43:05
5,925,138,962,1/17/2021 12:39:02
6,556,73,145,10/21/2021 02:50:12
7,151,71,658,8/4/2022 21:43:40
8,135,384,257,10/22/2022 02:40:09
9,966,473,973,1/9/2020 14:08:36
10,918,177,111,2/4/2020 02:47:51
11,629,106,976,7/11/2020 03:18:18
12,765,68,898,4/29/2020 17:34:59
13,168,75,244,5/3/2022 14:30:17
14,448,144,287,10/10/2021 19:20:25
15,364,131,679,1/2/2021 05:36:35
16,558,187,183,5/17/2021 18:28:55
17,122,86,989,4/3/2021 04:42:14
18,697,1,102,4/15/2021 05:26:57
19,255,255,591,12/21/2020 14:14:02
20,742,324,759,1/3/2023 14:51:08
21,317,228,341,1/10/2021 15:06:25
22,834,380,760,12/22/2020 13:30:18
23,449,490,142,6/18/2022 20:07:33
24,784,68,707,8/29/2022 12:29:13
25,921,274,875,1/19/2020 16:44:41
26,239,497,299,8/31/2022 23:07:12
27,514,59,579,4/27/2022 01:14:46
28,929,79,237,1/25/2021 21:37:46
29,869,380,913,10/4/2020 15:08:52
30,814,102,488,3/6/2023 00:18:13
31,757,104,920,7/14/2021 08:46:22
32,731,283,401,4/8/2023 13:00:16
33,568,136,964,2/16/2021 01:39:42
34,720,305,352,2/12/2021 03:37:13
35,704,421,820,4/28/2023 01:17:26
36,757,460,314,6/6/2023 10:37:42
37,938,109,234,7/11/2021 02:37:42
38,612,305,81,10/8/2022 01:05:51
39,895,240,175,11/20/2021 05:37:15
40,416,213,881,2/10/2021 09:31:13
41,337,152,178,12/2/2020 02:15:36
42,381,139,516,2/19/2022 20:34:50
43,871,239,809,9/6/2020 07:35:40
44,437,427,826,2/23/2021 07:57:02
45,686,44,279,11/4/2020 01:50:15
46,375,322,63,5/22/2022 15:08:09
47,762,273,694,1/20/2022 05:23:52
48,114,209,452,3/7/2021 06:56:40
49,534,206,90,5/6/2020 07:45:32
50,941,103,654,11/16/2022 06:08:01
51,725,426,595,12/31/2020 13:21:34
52,148,273,827,9/20/2021 15:39:17
53,618,214,978,6/12/2022 03:25:19
54,260,4,742,9/21/2021 16:14:48
55,682,297,79,3/28/2021 01:02:57
56,918,52,289,7/13/2021 11:25:18
57,665,236,5,10/4/2021 11:23:29
58,569,333,925,5/12/2021 00:30:23
59,411,7,941,12/20/2022 17:49:50
60,88,136,702,10/17/2020 11:03:30
61,711,145,64,3/20/2023 20:16:05
62,509,160,223,10/19/2021 08:24:20
63,32,374,226,10/9/2022 12:07:50
64,857,191,328,3/8/2023 12:24:28
65,100,7,507,12/28/2021 13:49:21
66,412,399,888,11/11/2021 09:48:25
67,765,192,394,3/5/2023 09:11:39
68,678,352,712,4/2/2023 23:20:03
69,745,255,593,10/23/2021 11:03:17
70,998,65,788,2/9/2021 21:24:33
71,621,38,566,12/8/2021 17:06:27
72,655,399,992,2/22/2023 03:33:38
73,799,85,85,11/4/2021 12:23:16
74,552,403,504,9/14/2021 19:56:35
75,134,434,581,10/10/2020 04:05:17
76,505,166,191,10/23/2022 02:57:27
77,607,58,711,3/29/2022 20:26:31
78,174,360,391,9/15/2020 11:21:09
79,788,156,759,4/30/2021 14:37:58
80,183,247,469,7/26/2021 21:41:09
