MaintainerID,StaffID
1,170
2,822
3,620
4,939
5,392
6,62
7,659
8,152
9,730
10,375
11,101
12,562
13,311
14,235
15,385
16,546
17,679
18,106
19,900
20,95
21,965
22,829
23,251
24,506
25,682
26,946
27,715
28,958
29,142
30,841
31,1000
32,198
33,376
34,330
35,430
36,877
37,818
38,376
39,211
40,953
41,569
42,97
43,252
44,446
45,43
46,876
47,321
48,432
49,669
50,803
51,989
52,99
53,1
54,576
55,31
56,878
57,887
58,958
59,767
60,302
61,849
62,240
63,720
64,686
65,827
66,231
67,551
68,377
69,732
70,908
71,659
72,343
73,927
74,563
75,200
76,493
77,773
78,107
79,492
80,447
81,130
82,166
83,910
84,445
85,878
86,378
87,171
88,666
89,991
90,806
91,237
92,144
93,27
94,224
95,96
96,147
97,463
98,672
99,300
100,756
