PartID,PartNumber,InstallationDate,ReplacementDate,SupplierID,ReplacementPartID,SensorID
1,07-2389187,11/21/2021,8/8/2021,8,null,42
2,89-9796246,7/19/2020,2/21/2023,6,null,79
3,59-7421540,11/12/2021,11/1/2021,9,null,745
4,61-5077671,2/21/2023,2/5/2022,5,null,895
5,07-4914139,4/22/2020,5/15/2023,10,null,41
6,91-9262272,1/20/2023,11/7/2023,10,null,561
7,42-3413561,7/30/2023,3/29/2020,3,null,129
8,46-3956200,9/21/2022,3/28/2022,7,null,165
9,95-7587756,5/9/2022,8/8/2022,8,null,778
10,30-1358655,6/17/2023,8/16/2022,6,null,953
11,74-9909127,5/8/2021,9/22/2023,1,null,457
12,62-4964934,11/2/2020,4/26/2021,9,null,720
13,73-7843616,10/7/2022,3/18/2023,5,null,227
14,06-7151410,1/24/2023,7/19/2020,6,null,917
15,76-0629022,3/22/2022,6/8/2023,1,null,770
16,79-9407012,3/31/2022,8/16/2020,1,null,310
17,83-4652589,2/6/2023,1/22/2020,2,null,366
18,42-9834099,3/13/2020,6/15/2021,4,null,51
19,26-7605848,1/31/2023,3/7/2022,10,null,150
20,56-4191883,3/21/2021,9/4/2022,3,null,801
21,86-4861785,7/10/2022,8/16/2020,4,null,569
22,07-8983959,6/22/2022,8/18/2023,1,null,692
23,12-1730616,9/26/2023,7/25/2021,3,null,181
24,27-4395476,7/2/2020,9/25/2021,9,null,388
25,06-3039186,5/28/2022,2/26/2020,10,null,584
26,50-7964813,7/29/2021,2/18/2023,10,null,249
27,68-4515391,10/6/2022,9/7/2021,1,null,471
28,95-7878621,11/7/2022,7/4/2020,7,null,809
29,95-9180128,3/24/2023,3/7/2023,2,null,209
30,68-6117956,3/17/2021,6/24/2021,1,null,739
31,61-3328168,1/9/2022,4/2/2022,4,null,301
32,12-7536707,2/20/2020,4/4/2023,1,692,298
33,73-8805833,10/13/2020,1/16/2020,9,null,76
34,05-5160311,8/24/2022,7/2/2020,6,766,40
