SalespersonID,StaffID
1,487
2,320
3,192
4,949
5,101
6,484
7,674
8,176
9,341
10,905
11,954
12,627
13,278
14,45
15,180
16,284
17,2
18,98
19,625
20,354
21,499
22,723
23,802
24,242
25,434
26,394
27,698
28,578
29,588
30,345
31,57
32,322
33,528
34,248
35,602
36,151
37,785
38,492
39,336
40,616
41,382
42,908
43,673
44,605
45,252
46,2
47,471
48,925
49,499
50,926
51,17
52,605
53,6
54,996
55,2
56,434
57,530
58,135
59,261
60,970
61,602
62,294
63,563
64,720
65,947
66,345
67,758
68,537
69,991
70,863
71,646
72,773
73,861
74,170
75,617
76,668
77,361
78,389
79,180
80,575
81,584
82,976
83,655
84,329
85,766
86,801
87,219
88,539
89,683
90,153
91,176
92,822
93,84
94,233
95,710
96,511
97,894
98,248
99,371
100,548
101,349
102,695
103,372
104,387
105,867
106,130
107,290
108,621
109,899
110,627
111,279
112,27
113,642
114,429
115,39
116,313
117,58
118,356
119,578
120,990
121,174
122,639
123,395
124,752
125,412
126,605
127,578
128,973
129,703
130,700
131,642
132,443
133,645
134,137
135,471
136,370
137,904
138,695
139,648
140,292
141,521
142,455
143,374
144,648
145,473
146,376
147,943
148,780
149,513
150,271
151,828
152,237
153,207
154,475
155,262
156,315
157,53
158,38
159,832
160,292
161,596
162,18
163,827
164,837
165,642
166,484
167,603
168,210
169,902
170,230
171,906
172,679
173,923
174,604
175,69
176,958
177,107
178,151
179,627
180,708
181,202
182,532
183,649
184,660
185,736
186,891
187,283
188,221
189,587
190,845
191,731
192,527
193,246
194,910
195,209
196,887
197,683
198,132
199,835
200,983
201,821
202,583
203,679
204,416
205,708
206,48
207,707
208,532
209,559
210,795
211,637
212,437
213,275
214,739
215,998
216,967
217,562
218,515
219,91
220,733
221,303
222,718
223,482
224,661
225,557
226,810
227,229
228,353
229,900
230,767
231,45
232,410
233,290
234,558
235,748
236,487
237,138
238,956
239,859
240,879
241,790
242,885
243,912
244,377
245,741
246,380
247,440
248,700
249,371
250,901
251,274
252,397
253,337
254,768
255,568
256,104
257,388
258,924
259,895
260,886
261,657
262,420
263,997
264,941
265,438
266,93
267,627
268,693
269,909
270,563
271,929
272,530
273,602
274,276
275,296
276,337
277,20
278,300
279,811
280,896
281,294
282,226
283,396
284,414
285,104
286,388
287,605
288,812
289,88
290,549
291,851
292,430
293,730
294,1
295,251
296,301
297,981
298,678
299,684
300,160
301,797
302,971
303,240
304,33
305,133
306,42
307,464
308,32
309,616
310,394
311,774
312,717
313,42
314,870
315,562
316,236
317,553
318,342
319,474
320,887
321,102
322,905
323,418
324,965
325,411
326,674
327,950
328,276
329,467
330,121
331,663
332,414
333,136
334,473
335,401
336,476
337,298
338,200
339,717
340,211
341,78
342,148
343,156
344,8
345,900
346,728
347,899
348,714
349,81
350,916
351,571
352,894
353,406
354,90
355,481
356,590
357,727
358,272
359,250
360,169
361,6
362,137
363,46
364,578
365,501
366,611
367,522
368,428
369,138
370,135
371,943
372,553
373,440
374,294
375,398
376,623
377,331
378,599
379,283
380,966
381,453
382,486
383,498
384,568
385,453
386,771
387,423
388,656
389,989
390,228
391,429
392,501
393,349
394,498
395,1
396,687
397,894
398,49
399,532
400,764
401,379
402,952
403,224
404,889
405,997
406,763
407,914
408,665
409,362
410,923
411,200
412,136
413,93
414,204
415,793
416,750
417,939
418,678
419,114
420,809
421,144
422,596
423,720
424,346
425,82
426,659
427,308
428,290
429,260
430,26
431,38
432,196
433,606
434,26
435,770
436,508
437,75
438,267
439,482
440,24
441,178
442,423
443,701
444,552
445,208
446,805
447,801
448,693
449,540
450,325
451,640
452,432
453,320
454,298
455,625
456,749
457,500
458,616
459,298
460,286
461,949
462,575
463,341
464,24
465,449
466,824
467,72
468,270
469,155
470,866
471,717
472,226
473,719
474,360
475,262
476,484
477,116
478,535
479,274
480,456
481,301
482,993
483,329
484,516
485,225
486,63
487,585
488,502
489,3
490,471
491,136
492,725
493,482
494,413
495,894
496,532
497,730
498,339
499,744
500,273
