SensorID,ManafactureDate,NextMaintenance,LastMaintained,MaintainerID,SensorType
1,2/2/2023 02:03:09,12/24/2026,10/9/2022 15:29:44,93,Zone
2,8/3/2021 00:55:43,1/16/2029,9/11/2022 21:00:44,77,Zone
3,12/17/2022 03:00:48,12/11/2036,1/31/2020 09:33:46,10,Zone
4,8/13/2021 04:32:42,7/26/2028,6/2/2021 15:26:37,18,Zone
5,7/11/2022 19:38:13,10/15/2049,7/6/2020 12:32:25,27,Zone
6,12/8/2020 21:52:46,8/24/2023,6/11/2020 00:13:56,67,Zone
7,9/19/2022 12:03:33,3/28/2026,6/5/2022 22:44:24,22,Zone
8,1/19/2020 02:18:17,2/25/2039,null,100,Zone
9,3/18/2020 16:44:12,10/5/2036,3/28/2023 14:37:11,10,Zone
10,2/13/2021 11:22:57,9/27/2026,2/13/2022 14:26:22,22,Zone
11,10/18/2021 18:02:51,3/2/2032,null,63,Subscriber
12,4/5/2023 22:24:22,9/16/2025,null,83,Zone
13,3/2/2022 22:02:04,1/10/2046,6/25/2020 22:00:48,80,Zone
14,9/19/2022 13:27:25,3/17/2036,null,28,Zone
15,12/19/2022 22:58:34,11/15/2026,7/2/2021 20:30:26,11,Zone
16,7/29/2020 05:19:02,11/19/2038,1/29/2022 09:08:33,22,Zone
17,5/28/2021 14:14:30,12/11/2037,2/21/2021 09:03:49,89,Zone
18,5/16/2020 03:18:46,5/24/2031,null,60,Zone
19,1/6/2020 16:46:25,12/4/2041,null,42,Zone
20,8/16/2020 01:07:12,3/12/2036,1/17/2023 00:29:08,91,Zone
21,2/17/2022 02:25:37,2/6/2032,null,65,Zone
22,4/12/2023 07:17:54,3/28/2033,12/27/2021 09:22:07,87,Subscriber
23,8/14/2021 21:37:31,4/25/2038,null,13,Zone
24,8/24/2021 06:24:05,4/9/2049,10/21/2022 00:10:20,42,Zone
25,10/31/2022 01:10:59,9/30/2030,null,34,Zone
26,1/22/2020 17:10:18,4/18/2034,null,48,Zone
27,1/25/2021 21:46:57,7/1/2048,10/28/2020 23:53:48,73,Zone
28,4/30/2023 06:08:51,3/15/2027,null,52,Zone
29,4/30/2020 18:17:44,2/16/2025,2/12/2022 10:24:01,9,Zone
30,7/19/2022 00:04:34,2/26/2035,4/16/2021 11:35:48,57,Zone
31,3/17/2020 11:25:10,5/8/2041,4/26/2023 03:10:55,77,Zone
32,1/28/2023 12:41:17,11/21/2048,6/16/2021 11:01:46,64,Zone
33,10/25/2020 10:08:50,12/22/2046,9/20/2020 08:18:37,100,Zone
34,9/6/2022 09:58:50,1/2/2043,null,15,Zone
