SensorID,Date,Longitude,Lattitude,Altitude
741,5/31/2021,122.836723,41.985186,190.7
67,11/15/2021,112.2771485,-7.6633857,38.2
91,10/6/2020,113.672784,22.814704,237.2
232,4/11/2021,101.7048008,2.9374756,123.0
176,1/21/2022,-72.5263984,8.7461253,37.2
553,2/6/2022,118.6733461,34.1956019,203.4
947,12/7/2021,119.2972038,26.085124,176.5
29,11/12/2022,24.3394019,57.0684709,43.9
809,1/20/2021,-65.5381671,-25.1042007,155.3
126,9/8/2022,24.9466284,59.4342152,77.2
742,3/15/2020,-71.8230371,-17.1406793,183.5
164,5/12/2023,140.2790754,38.3613687,166.5
568,3/22/2020,24.16667,54.6,160.5
457,6/11/2022,5.5466073,46.6693059,241.5
790,7/16/2022,42.7376717,43.9399539,245.1
728,6/21/2022,-56.6265989,-16.2664706,242.3
127,8/16/2022,-72.7038047,41.7721061,177.1
885,12/21/2022,13.1134915,14.2553505,168.3
808,6/18/2021,121.0226751,14.7258963,226.2
966,3/22/2020,-77.1053673,-12.0582305,178.2
25,8/9/2020,106.79542,29.696195,81.3
618,9/25/2021,34.4530968,-0.5350427,65.4
257,4/16/2020,-68.1435063,47.0203676,123.6
125,12/1/2020,118.626991,28.73733,172.6
859,7/15/2022,114.984292,30.181201,3.6
936,3/27/2022,-35.4562795,-6.8739016,217.5
753,1/12/2023,127.9678652,1.7145909,175.4
310,6/3/2021,32.7160121,26.155061,45.5
220,8/14/2020,77.11814,39.0763,79.8
758,12/7/2022,35.381268,32.965655,210.7
233,6/29/2022,115.667678,25.99296,115.6
435,6/3/2021,121.4106742,14.2813218,135.6
91,9/25/2022,64.7755147,35.91784,84.4
172,5/29/2023,124.268625,8.039166,58.3
862,5/7/2020,106.3282,-6.5675,94.4
23,2/19/2020,30.8190797,-27.4249796,186.4
453,9/23/2020,-8.5893138,41.4472964,108.7
664,12/21/2020,-8.6985716,10.6172827,180.9
150,3/23/2022,115.1092099,-8.5335529,183.6
65,9/25/2021,123.6274,-10.2183,25.7
487,8/28/2022,-56.9914585,5.9411628,105.7
97,7/9/2023,-72.467236,7.453578,70.0
779,8/2/2020,121.990929,12.261245,158.7
619,1/8/2020,21.36667,38.63333,143.9
