SubscriptionID,SubscriptionTypeID,ContractID,SubscriptionStart
1,2,13,3/11/2021
2,1,517,11/22/2021
3,3,427,1/7/2023
4,3,56,6/21/2021
5,4,463,2/9/2022
6,4,74,1/4/2021
7,2,753,4/25/2022
8,4,853,7/31/2021
9,3,848,10/27/2020
10,4,723,6/8/2023
11,2,900,3/27/2023
12,4,978,3/2/2022
13,2,789,7/24/2022
14,4,618,12/7/2023
15,1,980,2/6/2023
16,1,265,7/18/2021
17,3,935,3/8/2020
18,4,232,1/15/2021
19,2,383,9/13/2023
20,2,428,8/9/2023
21,4,792,8/28/2021
22,4,129,10/8/2022
23,2,201,4/22/2020
24,2,361,11/29/2022
25,3,175,1/16/2022
26,3,166,11/17/2022
27,4,603,10/16/2020
28,1,169,8/29/2022
29,2,937,3/7/2023
30,1,641,1/28/2023
31,4,379,1/15/2021
32,1,858,4/29/2022
33,2,655,5/2/2023
34,2,171,7/21/2020
35,3,117,12/25/2022
36,1,489,3/5/2021
37,4,790,6/14/2022
38,2,950,12/25/2020
39,4,941,1/12/2022
40,2,7,6/9/2022
41,2,356,3/22/2021
42,4,205,5/18/2020
43,4,228,8/8/2020
44,3,575,8/6/2020
45,3,874,11/14/2023
46,4,514,5/15/2020
47,4,238,4/13/2023
48,1,70,5/26/2021
49,4,779,6/26/2022
50,2,862,9/26/2023
51,3,325,3/2/2023
52,1,584,12/11/2023
53,1,578,6/28/2020
54,1,407,3/15/2020
55,3,91,12/15/2021
56,1,217,10/12/2020
57,4,285,10/8/2021
58,1,975,4/12/2020
59,3,155,9/21/2022
60,2,349,10/16/2022
61,4,713,5/24/2020
62,3,960,4/19/2022
63,3,76,9/3/2021
64,2,478,9/1/2022
65,3,833,6/1/2023
66,1,784,12/26/2022
67,2,20,11/30/2021
68,2,784,12/27/2023
69,1,798,7/24/2020
70,4,895,9/17/2021
71,3,509,5/22/2023
72,4,175,9/25/2023
73,2,153,10/30/2020
74,2,853,6/13/2023
75,2,290,2/6/2021
76,4,339,3/17/2021
77,4,274,9/17/2023
78,4,291,5/19/2022
79,4,3,2/9/2023
80,3,302,1/30/2021
81,1,966,8/28/2021
82,4,158,8/20/2023
83,2,39,12/6/2023
84,4,22,7/12/2023
85,4,940,4/10/2020
86,1,913,12/12/2023
87,2,579,9/27/2020
88,4,853,12/19/2020
89,1,846,11/30/2020
90,1,17,7/13/2022
91,1,75,6/23/2020
92,3,234,12/25/2020
93,4,496,9/28/2021
94,4,901,6/4/2022
95,2,362,11/11/2023
96,1,551,3/28/2023
97,1,265,8/5/2021
98,4,601,4/17/2021
99,1,184,10/21/2022
100,4,196,12/3/2022
101,1,1,10/20/2021
102,4,694,10/11/2020
103,1,718,12/31/2021
104,3,149,2/21/2020
105,4,557,4/27/2023
106,2,639,5/1/2021
107,3,616,1/18/2021
108,1,92,7/11/2020
109,4,420,4/17/2021
110,3,284,5/27/2020
111,2,255,3/1/2023
112,4,164,1/10/2022
113,1,55,6/11/2023
114,1,617,5/21/2022
115,3,383,4/19/2022
116,2,259,4/2/2021
117,3,791,8/28/2021
118,3,830,7/26/2021
119,3,481,9/4/2021
120,2,54,8/23/2023
121,3,260,5/26/2020
122,2,302,3/19/2021
123,3,943,5/7/2022
124,2,948,6/16/2021
125,2,75,5/11/2022
126,3,302,4/8/2023
127,3,31,7/2/2020
128,1,390,9/23/2021
129,2,89,10/3/2023
130,4,382,10/6/2020
131,3,139,2/21/2023
132,2,592,6/29/2022
133,2,275,9/23/2022
134,3,910,8/19/2021
135,4,293,6/1/2021
136,3,830,4/14/2022
137,1,873,2/26/2021
138,2,536,8/30/2021
139,1,278,1/8/2023
140,4,722,1/11/2022
141,3,745,8/14/2021
142,3,852,8/31/2022
143,3,32,7/25/2021
144,2,426,3/10/2020
145,4,387,8/11/2020
146,1,35,7/24/2023
147,4,843,11/11/2023
148,3,367,1/28/2023
149,3,591,7/16/2021
150,4,469,6/24/2020
151,1,783,12/12/2020
152,2,364,12/3/2023
153,4,299,1/12/2022
154,4,598,2/9/2020
155,4,702,3/3/2021
156,4,451,2/18/2023
157,1,341,1/15/2022
158,3,468,9/7/2020
159,2,287,5/5/2022
160,1,215,8/27/2023
161,3,331,5/8/2023
162,2,641,11/1/2020
163,4,581,1/9/2023
164,2,53,4/17/2022
165,1,329,1/18/2023
166,2,269,11/27/2022
167,3,679,5/14/2023
168,3,244,12/30/2022
169,4,179,3/1/2022
170,4,579,3/14/2021
171,2,42,10/19/2020
172,4,448,10/11/2021
173,4,932,6/26/2020
174,1,668,12/24/2023
175,3,548,12/7/2021
176,2,788,5/5/2021
177,1,334,9/18/2023
178,4,502,3/7/2021
179,1,428,12/2/2023
180,4,120,1/7/2020
181,1,511,2/18/2023
182,2,61,8/26/2023
183,4,512,6/15/2021
184,4,382,8/7/2021
185,1,749,9/24/2022
186,2,684,3/17/2021
187,2,609,9/27/2022
188,2,409,1/12/2023
189,1,923,6/24/2021
190,4,267,1/19/2022
191,1,435,6/23/2020
192,2,212,8/20/2023
193,1,595,6/2/2021
194,2,318,2/20/2023
195,3,892,10/24/2020
196,3,120,9/14/2020
197,2,367,1/30/2021
198,4,491,9/11/2020
199,4,287,1/23/2022
200,2,313,12/24/2020
201,3,855,2/28/2022
202,3,932,1/8/2023
203,4,290,2/5/2020
204,4,169,6/16/2020
205,2,678,5/12/2023
206,2,427,8/15/2020
207,1,11,10/18/2020
208,3,322,3/21/2021
209,2,990,1/19/2023
210,4,264,12/6/2020
211,2,899,7/30/2022
212,2,111,7/22/2021
213,2,198,9/12/2023
214,4,272,11/9/2021
215,1,124,6/16/2021
216,4,389,7/16/2021
217,4,621,3/20/2023
218,3,650,11/20/2023
219,2,563,2/21/2021
220,1,737,1/24/2021
221,1,196,11/11/2023
222,3,905,10/24/2020
223,2,878,6/17/2023
224,2,984,10/15/2022
225,1,280,12/3/2020
226,2,826,4/15/2020
227,4,611,11/1/2020
228,1,667,11/22/2022
229,2,86,11/13/2020
230,4,48,7/5/2023
231,2,75,11/8/2022
232,4,279,1/27/2020
233,3,34,10/3/2023
234,3,708,5/27/2021
235,3,494,1/5/2023
236,1,752,7/28/2022
237,2,211,3/11/2023
238,2,511,9/24/2023
239,1,164,11/20/2021
240,4,260,3/31/2023
241,1,16,4/16/2021
242,4,196,12/15/2020
243,4,77,4/15/2023
244,1,15,5/6/2020
245,2,330,7/17/2020
246,1,605,5/29/2020
247,2,643,2/5/2022
248,4,866,12/9/2022
249,2,844,12/11/2021
250,4,208,11/23/2023
251,1,253,2/1/2022
252,2,17,12/24/2020
253,1,139,10/13/2020
254,3,343,9/14/2023
255,4,313,12/14/2022
256,3,621,4/23/2022
257,4,430,8/22/2023
258,4,712,6/24/2022
259,4,440,11/8/2020
260,1,1,6/14/2023
261,2,52,9/13/2022
262,4,799,12/13/2020
263,2,487,4/6/2020
264,1,349,10/4/2022
265,1,303,7/25/2021
266,4,110,2/6/2020
267,3,234,3/7/2023
268,1,96,3/27/2022
269,2,86,10/2/2021
270,3,348,8/13/2020
271,2,463,7/29/2022
272,1,794,12/30/2021
273,4,861,1/24/2021
274,4,920,8/14/2021
275,4,685,5/12/2020
276,4,344,11/12/2022
277,3,461,10/26/2021
278,2,249,8/13/2021
279,2,647,11/5/2022
280,2,368,2/2/2023
281,1,241,7/5/2020
282,1,422,5/6/2021
283,2,213,6/12/2021
284,4,140,8/20/2022
285,1,415,11/10/2022
286,3,53,2/7/2020
287,4,728,9/14/2021
288,2,588,9/20/2021
289,4,680,1/30/2021
290,2,949,3/3/2022
291,3,916,6/13/2022
292,4,813,2/3/2021
293,1,675,12/22/2022
294,4,638,8/3/2020
295,3,792,3/4/2022
296,3,690,7/17/2022
297,3,310,9/29/2023
298,1,498,2/8/2023
299,3,771,2/6/2020
300,1,66,12/10/2020
301,2,302,8/8/2021
302,2,509,7/16/2022
303,3,567,8/4/2020
304,2,350,6/4/2020
305,2,753,7/2/2020
306,3,447,1/17/2022
307,1,15,4/12/2022
308,3,665,3/28/2020
309,2,652,7/2/2023
310,1,726,6/29/2023
311,3,354,3/12/2020
312,4,205,9/23/2023
313,3,195,11/25/2020
314,1,435,9/11/2022
315,3,173,7/19/2020
316,3,72,6/12/2022
317,4,456,6/27/2023
318,4,477,1/11/2023
319,3,925,1/22/2021
320,3,570,1/12/2020
321,3,874,5/30/2021
322,1,244,5/1/2020
323,2,719,10/15/2021
324,4,933,5/15/2022
325,1,899,2/18/2023
326,4,844,4/24/2022
327,2,855,11/26/2023
328,4,680,2/17/2020
329,2,766,7/25/2023
330,4,519,2/2/2023
331,4,435,10/17/2022
332,2,25,2/11/2020
333,1,839,9/24/2020
334,2,525,8/15/2022
335,1,367,8/11/2021
336,1,330,6/23/2021
337,1,379,11/29/2023
338,4,407,6/1/2022
339,4,675,3/14/2023
340,3,962,10/20/2020
341,1,583,10/9/2021
342,2,653,6/23/2021
343,2,623,11/11/2020
344,2,74,3/31/2021
