ZoneID,CityID,Postcode,LocationName,ContractID
1,58,4326,Hoard,234
2,73,3119,Hoffman,897
3,36,4326,Barby,908
4,42,4326,Ilene,422
5,75,2430-620,Valley Edge,121
6,126,4326,Meadow Ridge,158
7,131,309573,Golden Leaf,168
8,25,4326,Lighthouse Bay,247
9,46,4326,Mandrake,547
10,159,4326,Reinke,534
11,80,4326,Independence,985
12,44,4326,Graceland,701
13,148,4326,Doe Crossing,841
14,170,4326,Becker,78
15,40,4326,Blue Bill Park,699
16,99,20170,Beilfuss,2
17,139,4326,Pierstorff,510
18,43,46406,Anthes,447
19,76,4326,Ronald Regan,463
20,119,545 30,Bluejay,531
21,142,24118,Randy,224
22,1,4326,Talmadge,162
23,110,07800-000,Spenser,27
24,88,52111,Graceland,788
25,38,40293,Oak,536
26,40,4326,Merry,17
27,173,4326,Jenna,405
28,126,4326,Gerald,309
29,85,2770-005,Hazelcrest,477
30,99,4326,Sloan,73
31,113,4326,Merry,581
32,126,56500-000,Meadow Valley,237
33,31,4326,Kedzie,484
34,42,4326,Springview,906
35,45,186 31,Nobel,10
36,76,4326,Dapin,775
37,171,4326,Farmco,768
38,26,4326,Waxwing,431
39,30,4326,Bluestem,26
40,79,4326,Knutson,85
41,80,4326,4th,414
42,106,89-200,Pearson,212
43,79,386147,Moose,779
44,94,4326,Mariners Cove,493
45,45,8507,Rockefeller,244
46,162,4326,Schmedeman,232
47,90,4326,Pepper Wood,659
48,63,3025-389,Schurz,191
49,110,4326,Amoth,104
50,159,83060 CEDEX,Southridge,498
51,132,4326,Kropf,684
52,147,4326,Johnson,965
53,33,32255,Tomscot,818
54,103,80686,Carpenter,549
55,118,1623,Mcbride,542
56,132,9406,Bay,288
57,80,2445-204,La Follette,818
58,146,24-204,Westerfield,407
59,54,4326,Namekagon,546
60,1,4326,Hayes,175
61,136,3060-323,Longview,801
62,144,39250,Eastlawn,446
63,103,4326,Pennsylvania,317
64,107,4326,Upham,378
65,39,4326,Eastlawn,804
66,73,787-0150,Prairieview,620
67,66,452719,Algoma,246
68,169,4326,Northfield,464
69,50,11710,Bluejay,561
70,125,4326,Cambridge,334
71,138,4326,Loeprich,760
72,151,4326,Canary,161
73,164,86800-000,New Castle,240
74,48,4326,Blaine,952
75,148,4326,Walton,245
76,38,4326,Springview,531
77,14,5143,Gerald,949
78,4,4326,Schlimgen,309
79,59,MD-7702,Claremont,192
80,136,107 07,Crownhardt,489
81,126,4326,Tennyson,312
82,19,4326,Redwing,38
83,178,300-0331,Blaine,589
84,6,301088,Schurz,586
85,32,44000-000,Lillian,505
86,165,4326,Michigan,241
87,4,614532,Anzinger,756
88,118,4326,Anniversary,533
89,194,4326,Mccormick,154
90,29,4326,Thompson,396
91,175,879-0617,Transport,808
92,109,4326,Longview,366
93,105,4326,Hooker,101
